,age,time_stamp
295,18+,2018-07-05 18:46:00+00:00
296,10 and Under,2018-07-05 18:54:00+00:00
297,18+,2018-07-05 19:01:00+00:00
298,Skip,2018-07-05 19:12:00+00:00
299,11-17 years,2018-07-05 19:20:00+00:00
300,18+,2018-07-06 15:22:00+00:00
301,10 and Under,2018-07-06 15:26:00+00:00
302,18+,2018-07-06 15:47:00+00:00
303,10 and Under,2018-07-06 15:53:00+00:00
304,10 and Under,2018-07-06 15:56:00+00:00
305,18+,2018-07-06 16:17:00+00:00
306,18+,2018-07-06 16:29:00+00:00
307,18+,2018-07-06 16:37:00+00:00
308,18+,2018-07-06 16:42:00+00:00
309,11-17 years,2018-07-06 16:52:00+00:00
310,18+,2018-07-06 17:00:00+00:00
311,10 and Under,2018-07-06 17:16:00+00:00
312,Skip,2018-07-06 17:17:00+00:00
313,Skip,2018-07-06 17:19:00+00:00
314,10 and Under,2018-07-06 17:22:00+00:00
315,Skip,2018-07-06 17:26:00+00:00
316,11-17 years,2018-07-06 17:33:00+00:00
317,11-17 years,2018-07-06 17:47:00+00:00
318,18+,2018-07-06 18:02:00+00:00
319,11-17 years,2018-07-06 18:12:00+00:00
320,10 and Under,2018-07-06 18:17:00+00:00
321,Skip,2018-07-06 18:22:00+00:00
322,Skip,2018-07-06 18:25:00+00:00
323,18+,2018-07-06 18:34:00+00:00
324,11-17 years,2018-07-06 18:42:00+00:00
325,11-17 years,2018-07-06 18:53:00+00:00
326,11-17 years,2018-07-06 19:14:00+00:00
327,18+,2018-07-06 19:23:00+00:00
328,18+,2018-07-07 15:38:00+00:00
329,11-17 years,2018-07-07 16:26:00+00:00
330,11-17 years,2018-07-07 16:45:00+00:00
331,Skip,2018-07-07 16:51:00+00:00
332,18+,2018-07-07 17:04:00+00:00
333,18+,2018-07-07 17:08:00+00:00
334,10 and Under,2018-07-07 17:23:00+00:00
335,11-17 years,2018-07-07 17:26:00+00:00
336,18+,2018-07-07 17:34:00+00:00
337,18+,2018-07-07 17:40:00+00:00
338,18+,2018-07-07 17:42:00+00:00
339,18+,2018-07-07 17:45:00+00:00
340,Skip,2018-07-07 17:49:00+00:00
341,10 and Under,2018-07-07 17:51:00+00:00
342,18+,2018-07-07 18:31:00+00:00
343,18+,2018-07-07 18:33:00+00:00
344,18+,2018-07-07 18:35:00+00:00
345,18+,2018-07-07 19:06:00+00:00
346,Skip,2018-07-07 19:19:00+00:00
347,18+,2018-07-07 19:35:00+00:00
348,Skip,2018-07-07 19:45:00+00:00
349,11-17 years,2018-07-07 19:48:00+00:00
350,11-17 years,2018-07-07 19:49:00+00:00
351,18+,2018-07-08 15:25:00+00:00
352,11-17 years,2018-07-08 16:01:00+00:00
353,Skip,2018-07-08 16:37:00+00:00
354,10 and Under,2018-07-08 17:02:00+00:00
355,18+,2018-07-08 17:16:00+00:00
356,18+,2018-07-08 17:23:00+00:00
357,18+,2018-07-08 18:36:00+00:00
358,18+,2018-07-08 18:46:00+00:00
359,18+,2018-07-08 18:59:00+00:00
360,18+,2018-07-08 19:01:00+00:00
361,10 and Under,2018-07-08 19:08:00+00:00
362,18+,2018-07-08 19:10:00+00:00
363,18+,2018-07-08 19:11:00+00:00
364,18+,2018-07-08 19:38:00+00:00
365,11-17 years,2018-07-08 19:45:00+00:00
366,18+,2018-07-08 19:48:00+00:00
367,11-17 years,2018-07-09 15:31:00+00:00
368,11-17 years,2018-07-09 15:39:00+00:00
369,10 and Under,2018-07-09 15:55:00+00:00
370,18+,2018-07-09 15:58:00+00:00
371,11-17 years,2018-07-09 16:07:00+00:00
372,11-17 years,2018-07-09 16:14:00+00:00
373,18+,2018-07-09 16:21:00+00:00
374,18+,2018-07-09 16:51:00+00:00
375,10 and Under,2018-07-09 16:53:00+00:00
376,11-17 years,2018-07-09 16:57:00+00:00
377,10 and Under,2018-07-09 17:35:00+00:00
378,Skip,2018-07-09 18:10:00+00:00
379,10 and Under,2018-07-09 18:18:00+00:00
380,10 and Under,2018-07-09 18:20:00+00:00
381,10 and Under,2018-07-09 18:35:00+00:00
382,10 and Under,2018-07-09 18:59:00+00:00
383,18+,2018-07-09 19:02:00+00:00
384,Skip,2018-07-09 19:22:00+00:00
385,11-17 years,2018-07-09 19:31:00+00:00
386,11-17 years,2018-07-09 19:35:00+00:00
387,18+,2018-07-09 19:37:00+00:00
388,10 and Under,2018-07-09 19:38:00+00:00
389,11-17 years,2018-07-09 19:39:00+00:00
390,11-17 years,2018-07-09 19:54:00+00:00
391,10 and Under,2018-07-10 15:34:00+00:00
392,11-17 years,2018-07-10 15:52:00+00:00
393,10 and Under,2018-07-10 15:53:00+00:00
394,10 and Under,2018-07-10 16:09:00+00:00
395,Skip,2018-07-10 16:14:00+00:00
396,11-17 years,2018-07-10 16:15:00+00:00
397,Skip,2018-07-10 17:12:00+00:00
398,11-17 years,2018-07-10 17:14:00+00:00
399,11-17 years,2018-07-10 17:22:00+00:00
400,18+,2018-07-10 17:31:00+00:00
401,11-17 years,2018-07-10 17:35:00+00:00
402,11-17 years,2018-07-10 17:44:00+00:00
403,Skip,2018-07-10 18:06:00+00:00
404,18+,2018-07-10 18:49:00+00:00
405,10 and Under,2018-07-10 19:13:00+00:00
406,10 and Under,2018-07-10 19:15:00+00:00
407,Skip,2018-07-10 19:37:00+00:00
408,18+,2018-07-10 20:05:00+00:00
409,Skip,2018-07-10 20:06:00+00:00
410,Skip,2018-07-11 15:28:00+00:00
411,11-17 years,2018-07-11 15:41:00+00:00
412,18+,2018-07-11 15:41:00+00:00
413,10 and Under,2018-07-11 15:42:00+00:00
414,11-17 years,2018-07-11 15:42:00+00:00
415,10 and Under,2018-07-11 15:44:00+00:00
416,10 and Under,2018-07-11 16:13:00+00:00
417,11-17 years,2018-07-11 16:19:00+00:00
418,18+,2018-07-11 16:23:00+00:00
419,18+,2018-07-11 16:40:00+00:00
420,18+,2018-07-11 16:46:00+00:00
421,Skip,2018-07-11 17:15:00+00:00
422,11-17 years,2018-07-11 17:18:00+00:00
423,10 and Under,2018-07-11 17:25:00+00:00
424,11-17 years,2018-07-11 17:40:00+00:00
425,18+,2018-07-11 17:59:00+00:00
426,18+,2018-07-11 18:35:00+00:00
427,18+,2018-07-11 18:57:00+00:00
428,10 and Under,2018-07-11 23:43:00+00:00
429,10 and Under,2018-07-12 00:38:00+00:00
430,18+,2018-07-12 01:13:00+00:00
431,Skip,2018-07-12 15:19:00+00:00
432,Skip,2018-07-12 15:44:00+00:00
433,10 and Under,2018-07-12 15:46:00+00:00
434,Skip,2018-07-12 15:49:00+00:00
435,18+,2018-07-12 15:51:00+00:00
436,10 and Under,2018-07-12 17:09:00+00:00
437,Skip,2018-07-12 17:42:00+00:00
438,10 and Under,2018-07-12 17:44:00+00:00
439,10 and Under,2018-07-12 17:47:00+00:00
440,10 and Under,2018-07-12 17:55:00+00:00
441,10 and Under,2018-07-12 17:55:00+00:00
442,Skip,2018-07-12 18:04:00+00:00
443,10 and Under,2018-07-12 18:05:00+00:00
444,10 and Under,2018-07-12 18:11:00+00:00
445,Skip,2018-07-12 18:26:00+00:00
446,10 and Under,2018-07-12 18:40:00+00:00
447,11-17 years,2018-07-12 18:55:00+00:00
448,18+,2018-07-12 18:57:00+00:00
449,18+,2018-07-12 19:08:00+00:00
450,10 and Under,2018-07-12 19:45:00+00:00
451,18+,2018-07-12 19:50:00+00:00
452,Skip,2018-07-12 19:53:00+00:00
453,11-17 years,2018-07-12 19:54:00+00:00
454,Skip,2018-07-12 19:54:00+00:00
455,Skip,2018-07-12 19:58:00+00:00
456,10 and Under,2018-07-13 16:07:00+00:00
457,11-17 years,2018-07-13 16:23:00+00:00
458,Skip,2018-07-13 16:26:00+00:00
459,11-17 years,2018-07-13 16:32:00+00:00
460,10 and Under,2018-07-13 16:47:00+00:00
461,18+,2018-07-13 17:25:00+00:00
462,Skip,2018-07-13 17:38:00+00:00
463,18+,2018-07-13 18:14:00+00:00
464,10 and Under,2018-07-13 18:22:00+00:00
465,10 and Under,2018-07-13 18:27:00+00:00
466,18+,2018-07-13 18:31:00+00:00
467,18+,2018-07-13 18:54:00+00:00
468,11-17 years,2018-07-13 18:57:00+00:00
469,10 and Under,2018-07-13 19:05:00+00:00
470,10 and Under,2018-07-13 19:31:00+00:00
471,10 and Under,2018-07-13 19:34:00+00:00
472,Skip,2018-07-13 19:47:00+00:00
473,10 and Under,2018-07-13 19:58:00+00:00
474,11-17 years,2018-07-14 15:15:00+00:00
475,11-17 years,2018-07-14 15:35:00+00:00
476,18+,2018-07-14 15:45:00+00:00
477,11-17 years,2018-07-14 15:47:00+00:00
478,18+,2018-07-14 15:59:00+00:00
479,11-17 years,2018-07-14 16:03:00+00:00
480,11-17 years,2018-07-14 16:07:00+00:00
481,10 and Under,2018-07-14 16:26:00+00:00
482,10 and Under,2018-07-14 16:35:00+00:00
483,18+,2018-07-14 17:06:00+00:00
484,18+,2018-07-14 17:27:00+00:00
485,10 and Under,2018-07-14 17:28:00+00:00
486,11-17 years,2018-07-14 17:34:00+00:00
487,10 and Under,2018-07-14 17:49:00+00:00
488,10 and Under,2018-07-14 17:53:00+00:00
489,18+,2018-07-14 17:57:00+00:00
490,11-17 years,2018-07-14 18:04:00+00:00
491,10 and Under,2018-07-14 18:09:00+00:00
492,10 and Under,2018-07-14 18:29:00+00:00
493,10 and Under,2018-07-14 18:31:00+00:00
494,18+,2018-07-14 18:38:00+00:00
495,11-17 years,2018-07-14 18:41:00+00:00
496,18+,2018-07-14 18:46:00+00:00
497,18+,2018-07-14 19:12:00+00:00
498,18+,2018-07-14 19:15:00+00:00
499,18+,2018-07-14 19:18:00+00:00
500,18+,2018-07-14 19:35:00+00:00
501,11-17 years,2018-07-14 19:44:00+00:00
502,18+,2018-07-14 19:56:00+00:00
503,10 and Under,2018-07-14 20:00:00+00:00
504,11-17 years,2018-07-14 20:01:00+00:00
505,18+,2018-07-14 20:05:00+00:00
506,10 and Under,2018-07-15 15:54:00+00:00
507,11-17 years,2018-07-15 16:09:00+00:00
508,11-17 years,2018-07-15 16:23:00+00:00
509,Skip,2018-07-15 16:32:00+00:00
510,10 and Under,2018-07-15 16:55:00+00:00
511,18+,2018-07-15 17:00:00+00:00
512,10 and Under,2018-07-15 17:07:00+00:00
513,18+,2018-07-15 17:13:00+00:00
514,18+,2018-07-15 17:15:00+00:00
515,18+,2018-07-15 17:43:00+00:00
516,18+,2018-07-15 17:57:00+00:00
517,10 and Under,2018-07-15 18:05:00+00:00
518,18+,2018-07-15 18:22:00+00:00
519,18+,2018-07-15 18:30:00+00:00
520,11-17 years,2018-07-15 18:35:00+00:00
521,18+,2018-07-15 18:48:00+00:00
522,10 and Under,2018-07-15 18:49:00+00:00
523,Skip,2018-07-15 18:58:00+00:00
524,10 and Under,2018-07-15 19:07:00+00:00
525,Skip,2018-07-15 19:28:00+00:00
526,18+,2018-07-15 19:40:00+00:00
527,Skip,2018-07-15 19:56:00+00:00
528,10 and Under,2018-07-16 15:36:00+00:00
529,18+,2018-07-16 16:19:00+00:00
530,10 and Under,2018-07-16 16:21:00+00:00
531,11-17 years,2018-07-16 16:22:00+00:00
532,18+,2018-07-16 16:49:00+00:00
533,18+,2018-07-16 17:01:00+00:00
534,10 and Under,2018-07-16 17:03:00+00:00
535,11-17 years,2018-07-16 17:20:00+00:00
536,10 and Under,2018-07-16 17:29:00+00:00
537,Skip,2018-07-16 17:41:00+00:00
538,18+,2018-07-16 17:52:00+00:00
539,10 and Under,2018-07-16 17:55:00+00:00
540,10 and Under,2018-07-16 18:00:00+00:00
541,10 and Under,2018-07-16 18:02:00+00:00
542,10 and Under,2018-07-16 18:03:00+00:00
543,18+,2018-07-16 18:16:00+00:00
544,Skip,2018-07-16 18:50:00+00:00
545,11-17 years,2018-07-16 18:56:00+00:00
546,11-17 years,2018-07-16 19:26:00+00:00
547,11-17 years,2018-07-16 19:39:00+00:00
548,11-17 years,2018-07-16 19:50:00+00:00
549,10 and Under,2018-07-17 15:34:00+00:00
550,10 and Under,2018-07-17 15:37:00+00:00
551,18+,2018-07-17 15:47:00+00:00
552,Skip,2018-07-17 15:53:00+00:00
553,18+,2018-07-17 16:15:00+00:00
554,18+,2018-07-17 16:16:00+00:00
555,18+,2018-07-17 16:24:00+00:00
556,10 and Under,2018-07-17 16:33:00+00:00
557,Skip,2018-07-17 16:44:00+00:00
558,10 and Under,2018-07-17 16:48:00+00:00
559,18+,2018-07-17 16:50:00+00:00
560,10 and Under,2018-07-17 17:02:00+00:00
561,11-17 years,2018-07-17 17:03:00+00:00
562,18+,2018-07-17 17:06:00+00:00
563,11-17 years,2018-07-17 17:07:00+00:00
564,11-17 years,2018-07-17 17:18:00+00:00
565,10 and Under,2018-07-17 17:29:00+00:00
566,Skip,2018-07-17 17:39:00+00:00
567,Skip,2018-07-17 18:20:00+00:00
568,18+,2018-07-17 18:38:00+00:00
569,Skip,2018-07-17 18:50:00+00:00
570,18+,2018-07-17 18:54:00+00:00
571,10 and Under,2018-07-17 19:12:00+00:00
572,11-17 years,2018-07-17 19:33:00+00:00
573,10 and Under,2018-07-17 19:34:00+00:00
574,10 and Under,2018-07-18 15:30:00+00:00
575,10 and Under,2018-07-18 15:49:00+00:00
576,18+,2018-07-18 16:04:00+00:00
577,10 and Under,2018-07-18 16:29:00+00:00
578,10 and Under,2018-07-18 16:42:00+00:00
579,Skip,2018-07-18 16:45:00+00:00
580,10 and Under,2018-07-18 16:52:00+00:00
581,Skip,2018-07-18 17:35:00+00:00
582,10 and Under,2018-07-18 17:39:00+00:00
583,11-17 years,2018-07-18 17:40:00+00:00
584,Skip,2018-07-18 17:43:00+00:00
585,18+,2018-07-18 17:59:00+00:00
586,11-17 years,2018-07-18 18:07:00+00:00
