in_analysis,GenID,isolate,species,Region,subregion,,,Collector,number
F061_coastal_NZn,F061_cf_coastal_NZ_northIs,F061,coastal,NZ,north,New Zealand,North Island,"de Lange, Peter",8034
F062_coastal_NZn,F062,F062,rostrata,NZ,north,New Zealand,North Island,"de Lange, Peter",8037
F063_coastal_KERM,F063_cf_coastal_KERM,F063,coastal,KERM,,Kermadec Islands,,Stanley,AK 294898
F064_coastal_KERM,F064_cf_coastal_KERM,F064,coastal,KERM,,Kermadec Islands,,"de Lange, Peter",K376
F070_coastal_KERM,F070_cf_coastal_KERM,F070,coastal,KERM,,Kermadec Islands,,"de Lange, Peter",K339
F104_truncatistyla_NZn,F104_truncatistyla_NZ,F104,truncatistyla,NZ,,New Zealand,North Island,"Renner, Matt",AK 298563 MAMR 2560
F181_coastal_NZ_X,F181_cf_coastal_NZ,F181,coastal,NZ,?????,New Zealand,,"Engel, John, von Konrat & Braggins",24767
F222_coastal_AUqsl,F222_cf_junghuniana_AU_qsl,F222,coastal,AUS,qsl,Australia,Queensland,"Pócs, T. & H. Streimann",9977/M
F223_coastal_AUqsl,F223_cf_junghuhniana_AU_Qnslnd,F223,coastal,AUS,qsl,Australia,Queensland,"Pócs, T.",01116/c
F224_coastal_AUqsl,F224_cf_coastal_AU_Qnslnd,F224,coastal,AUS,qsl,Australia,Queensland,"Pócs, T. & H. Streimann",9977/j
F244_coastal_NZn,F244_squarrose_NZ_northIs,F244,coastal,NZ,north,New Zealand,North Island,"de Lange, Peter",8037
F261_toropuku_NZn,F261_toropuku_NZ,F261,toropuku,NZ,???,New Zealand,,"Von Konrat, Matt",97/15a
