Time_Stamp,Age
2018-07-27 13:24,10 and Under
2018-07-28 10:18,11-17 years
2018-07-28 10:51,10 and Under
2018-07-28 10:57,18+
2018-07-28 11:01,11-17 years
2018-07-28 11:04,11-17 years
2018-07-28 11:06,10 and Under
2018-07-28 11:19,18+
2018-07-28 11:22,18+
2018-07-28 11:41,18+
2018-07-28 11:42,18+
2018-07-28 12:06,18+
2018-07-28 12:10,10 and Under
2018-07-28 12:25,18+
2018-07-28 12:32,18+
2018-07-28 12:42,18+
2018-07-28 12:46,18+
2018-07-28 12:50,18+
2018-07-28 13:13,18+
2018-07-28 13:22,10 and Under
2018-07-28 13:29,10 and Under
2018-07-28 13:31,18+
2018-07-28 13:34,10 and Under
2018-07-28 13:37,18+
2018-07-28 13:39,11-17 years
2018-07-28 13:49,18+
2018-07-28 13:55,18+
2018-07-28 13:56,11-17 years
2018-07-28 13:57,18+
2018-07-28 14:01,10 and Under
2018-07-28 14:06,18+
2018-07-28 14:18,18+
2018-07-29 11:09,18+
2018-07-29 11:27,11-17 years
2018-07-29 11:44,Skip
2018-07-29 12:04,18+
2018-07-29 12:08,18+
2018-07-29 12:47,10 and Under
2018-07-29 12:48,18+
2018-07-29 12:53,18+
2018-07-29 13:04,18+
2018-07-29 13:13,18+
2018-07-29 13:23,18+
2018-07-29 13:25,18+
2018-07-29 13:42,11-17 years
2018-07-29 13:43,Skip
2018-07-29 13:47,11-17 years
2018-07-29 14:11,11-17 years
2018-07-29 14:45,11-17 years
2018-07-29 14:56,10 and Under
2018-07-29 14:58,11-17 years
2018-07-30 10:34,18+
2018-07-30 11:03,18+
2018-07-30 11:12,10 and Under
2018-07-30 11:15,11-17 years
2018-07-30 11:21,18+
2018-07-30 11:37,18+
2018-07-30 11:54,10 and Under
2018-07-30 11:56,11-17 years
2018-07-30 12:02,11-17 years
2018-07-30 12:08,18+
2018-07-30 12:18,18+
2018-07-30 12:58,11-17 years
2018-07-30 13:00,18+
2018-07-30 13:13,10 and Under
2018-07-30 14:03,18+
2018-07-30 14:32,10 and Under
2018-07-30 14:49,11-17 years
2018-07-30 14:52,10 and Under
2018-07-30 14:58,10 and Under
2018-08-01 12:47,18+
2018-08-01 12:57,Skip
2018-08-01 13:51,11-17 years
2018-08-01 13:53,10 and Under
2018-08-01 14:10,11-17 years
2018-08-01 14:38,10 and Under
2018-08-01 14:40,18+
2018-08-01 14:53,11-17 years
2018-08-01 14:56,18+
2018-08-02 10:16,Skip
2018-08-02 10:33,18+
2018-08-02 10:46,18+
2018-08-02 11:02,18+
2018-08-02 11:05,Skip
