# ----------------------------------------
# All Web Site Data
# Microplants Age Survey Report
# 20180620-20190623
# ----------------------------------------

Date,Hour,Minute,Event Action,Event Label,Total Events
20180626,12,39,Answer: 10 and Under,SessionID: 463029e08101b8f677770f9571a817703d616a45c938c2d97e7bc6face70085e,1
20180626,12,54,Answer: Skip,SessionID: 993259acd6e562c05a9127958b4f0d932aca2e5e0653f821abd4b75920a9adba,1
20180626,13,04,Answer: 10 and Under,SessionID: 7466120bd4166a9affb4b4465871cfd3180f20f42ea6626aebdfd27ea1d6ecfd,1
20180626,13,22,Answer: 11-17,SessionID: Dffff617cd8641d9b57759a9446e807e710b47b5b641bce0adb1ed8eceb9959f,1
20180626,13,26,Answer: 10 and Under,SessionID: Dffff617cd8641d9b57759a9446e807e710b47b5b641bce0adb1ed8eceb9959f,1
20180626,13,39,Answer: 18+,SessionID: 7bd315e5d1a888f0dcf6946bbfe710b8ee47735611135cc7706728f920baf510,1
20180626,13,58,Answer: 10 and Under,SessionID: 949e0e9958d6971042abd630f220b3bc2c33b75508d8254202a9d847c507fc7a,1
20180626,14,49,Answer: 18+,SessionID: A85f0d1a7baf840988775a6c1065d0ccbe24f6db46d9196971c779353e01f3a6,1
20180627,10,53,Answer: 10 and Under,SessionID: A85f0d1a7baf840988775a6c1065d0ccbe24f6db46d9196971c779353e01f3a6,1
20180627,10,57,Answer: 10 and Under,SessionID: 65f63cd1564d622f12145b0dcf80ac7ce90b509ece838e34d1101829f26ebc5d,1
20180627,11,36,Answer: 11-17,SessionID: B7fd02c47f84b2e5c0d4d18739c7943c1fbac36d8865fdfcb3c836b10281749f,1
20180627,12,19,Answer: 11-17,SessionID: A5f267ccbd722309c36e929fecbdae1b65ed44d997f24b2fd35cc64e54b4873c,1
20180627,12,35,Answer: 10 and Under,SessionID: A4752b1e3edbda59457c0505fe563eb4ae7588a77c0da09214bae7ad34db5cf8,1
20180627,13,12,Answer: 11-17,SessionID: E836562f3dce3789019828ceaa6fea6d79f0b8ae3a7eac62dead79c418216f04,1
20180627,13,17,Answer: 18+,SessionID: E836562f3dce3789019828ceaa6fea6d79f0b8ae3a7eac62dead79c418216f04,1
20180627,13,27,Answer: 18+,SessionID: 4f53f7b8e547df6ba5c8a66326c301256cb21f9a86fa46adc816cb9d8eb166a2,1
20180627,13,52,Answer: 11-17,SessionID: 3e529f26b740b9250ca2c6f34181699bf26d5ecece7b136d101f0ad0a67a3fbd,1
20180627,13,57,Answer: 18+,SessionID: 1267c64ff5a4d552b3fb6713626749d76c2bd30b352b5ec641c5431d2e9eb826,1
20180627,14,04,Answer: 10 and Under,SessionID: 1d9e8b41008538e138f5ca30e251a8fc416a9dbc75eb046dad1abf6b91e0376c,1
20180627,14,19,Answer: Skip,SessionID: F19841e433c33f9a3bf76e8a64abc0d00f51f9aaaab14695a13166eb5e007dbd,1
20180627,14,51,Answer: 10 and Under,SessionID: Bc3803ad8eccc139fd5f79200cad4e3297ee9c52d279c9896c331163d4a3a210,1
20180628,10,43,Answer: 11-17,SessionID: Caf2df26f7937280ff0cbc00002bbc9b5e923d2da0408bec7c807fa5ecc0ba8b,1
20180628,10,47,Answer: 10 and Under,SessionID: 6db46570527ded7a42403abdc2d1cb34da0a362737e5c8c454026ce832cae93c,1
20180628,10,59,Answer: 18+,SessionID: 1e4aea3ade43e22e1d9d5f92561817f173255d1f3611dd6db95fffe1d51e85a8,1
20180628,11,01,Answer: 18+,SessionID: C05fd2f9bfe630fbbf6f6ded618d008b4192e509cfda0d980724a56730ea7da2,1
20180628,11,08,Answer: 18+,SessionID: 9d53282cfb19754aa7eb9370fc849e9d2b2dd97a7ac1feaabbb898c124da574a,1
20180628,11,21,Answer: 11-17,SessionID: Ae3f175c0f74b9a9ef91f45b7f51484f91e9a65864b34b4a90edb508aa0ce3d4,1
20180628,11,40,Answer: Skip,SessionID: 64051e35a0015a20ab5e536cfc6c48381eeb33d44300e2b642ef6054930880a1,1
20180628,12,02,Answer: Skip,SessionID: 8814f00ce52fb409d128d271fa1dd0784590ff803bef24c2bc118bdfe3c4719f,1
20180628,12,19,Answer: 11-17,SessionID: 355aee46d997d92cfde8cb61083f81a7254bfb9ee1bfd3193313565f3c295d65,1
20180628,12,22,Answer: 11-17,SessionID: C92f1de1b48b5e710720d1b3e36be1f5f6cd959c0890b4e453786e737a082f87,1
20180628,12,27,Answer: 10 and Under,SessionID: 3ad02f99c3266260c8c7119a518a1adc150c82aac9ef5ea116f40939eaeccf69,1
20180628,12,47,Answer: 11-17,SessionID: 34128606dd9c6abaaabe2a9f73e001e8cd6375a555246616e2fdb2508a14f156,1
20180628,12,49,Answer: 18+,SessionID: E5877265cc9d39926f00e930271f43b91d8abb7f83e126b5a4a9d67b6e0a33c9,1
20180628,12,58,Answer: 11-17,SessionID: 674b8949b5bc05ab28df1d521af3e42ebced58aaf05e326ff2597a2ba508e4a6,1
20180628,13,05,Answer: 10 and Under,SessionID: 150209711dd8a9bd18c4cdb80722cccbdaead96890b2b81d6023f2835dae5012,1
20180628,13,07,Answer: 10 and Under,SessionID: 150209711dd8a9bd18c4cdb80722cccbdaead96890b2b81d6023f2835dae5012,1
20180628,13,21,Answer: Skip,SessionID: 0848d4686fb5324c4826fee30fe77f821906e1837cc4d65b9cd393dcaf59e79d,1
20180628,13,40,Answer: 11-17,SessionID: 91bca443d1bc04a7bc45b4a6c399315dddb23ad702c2ec4b194308a6af9c2664,1
20180628,13,48,Answer: Skip,SessionID: D754977c43ad8c200786abaf0d37107dc4ba699d476897d94a63079c702e60d4,1
20180628,14,21,Answer: 11-17,SessionID: 6a500f7b49eb674dc6f4aa5b2df25ac46f1a0b6d8d409cbf66dd9fecd4dec319,1
20180628,14,34,Answer: 10 and Under,SessionID: 57fd745ebc35b3eee7b078adbc75f32327865d3f458c0afb0173b2910dec1a00,1
20180628,14,36,Answer: 10 and Under,SessionID: D7ffbff8671f31fd22ad17200bf8317e1bf54c14aafdc266a8d581e2d5088c3c,1
20180628,14,49,Answer: 18+,SessionID: F16f468ce0a384598db056870217021876ea0bb9c6fb15f2879b6e5da7ff4a6d,1
20180629,10,33,Answer: 18+,SessionID: 234ae095c7a5a5b0266a1ddee20860f10225b578abfbf1a4aae5564535007012,1
20180629,11,15,Answer: 10 and Under,SessionID: E68ad8d3237c1365cbc943f022fbe8aacb8b4685532ff25b1d633c8da2ddd2b0,1
20180629,11,20,Answer: Skip,SessionID: C2049cbb5134ec037378863f69ab46412aa1671697dbebcdb46427260a6c8cf3,1
